,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,ud_3d
72,20170502,에듀파트너,1040,1000,25.0,2.4631,1040.0,-1.277955271565488,-2.8169014084507045,-17.0,0
73,20170504,에듀파트너,1035,1990,-5.0,-0.4808,1030.0,-1.123595505617963,-0.9852216748768473,990.0,0
74,20170508,에듀파트너,1005,1001,-30.0,-2.8986,1026.6666666666667,-1.6025641025640989,-0.9615384615384616,-989.0,0
75,20170510,에듀파트너,1030,1000,25.0,2.4876,1023.3333333333334,-1.1326860841423911,-1.4492753623188406,-1.0,0
76,20170511,에듀파트너,1020,2000,-10.0,-0.9709,1018.3333333333334,-1.2662337662337773,-1.3930348258706469,1000.0,0
77,20170512,에듀파트너,991,1001,-29.0,-2.8431,1013.6666666666666,-3.1270358306188926,-6.5048543689320395,-999.0,-1
78,20170515,에듀파트너,963,1001,-28.0,-2.8254,991.3333333333334,0.13093289689033624,8.333333333333332,0.0,0
79,20170516,에듀파트너,1105,0,142.0,14.7456,1019.6666666666666,9.766524169681038,28.15338042381433,-1001.0,0
80,20170517,에듀파트너,1270,44,165.0,14.9321,1112.6666666666667,23.57094821788836,34.994807892004154,44.0,1
81,20170518,에듀파트너,1300,800,30.0,2.3622,1225.0,25.36776724419745,14.479638009049776,756.0,0
82,20170519,에듀파트너,1265,710,-35.0,-2.6923,1278.3333333333333,20.28160575194726,14.173228346456693,-90.0,0
83,20170522,에듀파트너,1450,90,185.0,14.6245,1338.3333333333333,18.911564625850346,27.307692307692307,-620.0,0
84,20170523,에듀파트너,1655,0,205.0,14.1379,1456.6666666666667,28.943937418513695,45.45454545454545,-90.0,1
85,20170524,에듀파트너,1840,91,185.0,11.1782,1648.3333333333333,39.72602739726028,45.86206896551724,91.0,1
86,20170525,에듀파트너,2115,601,275.0,14.9457,1870.0,38.787185354691076,27.492447129909365,510.0,0
87,20170526,에듀파트너,2110,502,-5.0,-0.2364,2021.6666666666667,26.79474216380183,11.141304347826086,-99.0,0
88,20170529,에듀파트너,2045,500,-65.0,-3.0806,2090.0,11.497326203208557,-0.7092198581560284,-2.0,0
89,20170530,에듀파트너,2100,606,55.0,2.6895,2085.0,1.9785655399835005,-3.3175355450236967,106.0,0
90,20170531,에듀파트너,2040,500,-60.0,-2.8571,2061.6666666666665,-0.4784688995215311,2.689486552567237,-106.0,0
91,20170601,에듀파트너,2100,601,60.0,2.9412,2080.0,-1.1990407673860912,-2.857142857142857,101.0,0
92,20170602,에듀파트너,2040,500,-60.0,-2.8571,2060.0,0.8892481810832733,2.941176470588235,-101.0,0
93,20170605,에듀파트너,2100,601,60.0,2.9412,2080.0,0.9615384615384616,2.857142857142857,101.0,0
94,20170607,에듀파트너,2160,2001,60.0,2.8571,2100.0,4.773462783171528,8.57843137254902,1400.0,1
95,20170608,에듀파트너,2215,501,55.0,2.5463,2158.3333333333335,6.410256410256418,7.857142857142857,-1500.0,1
96,20170609,에듀파트너,2265,501,50.0,2.2573,2213.3333333333335,6.984126984126977,4.62962962962963,0.0,0
97,20170612,에듀파트너,2260,501,-5.0,-0.2208,2246.6666666666665,5.637065637065629,4.514672686230249,0.0,0
98,20170613,에듀파트너,2315,501,55.0,2.4336,2280.0,8.885542168674691,17.218543046357617,0.0,0
99,20170614,에듀파트너,2655,168,340.0,14.6868,2410.0,7.270029673590511,0.0,-333.0,0
100,20170615,에듀파트너,2260,400,-395.0,-14.8776,2410.0,4.678362573099409,-3.023758099352052,232.0,0
101,20170616,에듀파트너,2245,501,-15.0,-0.6637,2386.6666666666665,-2.0746887966804977,-3.0131826741996233,101.0,0
102,20170619,에듀파트너,2575,1,330.0,14.6993,2360.0,7.538035961272469,30.752212389380528,-500.0,0
103,20170620,에듀파트너,2955,1,380.0,14.7573,2591.6666666666665,24.58100558659219,51.00222717149221,0.0,1
104,20170621,에듀파트너,3390,27,435.0,14.7208,2973.3333333333335,36.15819209039549,27.96116504854369,26.0,0
105,20170622,에듀파트너,3295,400,-95.0,-2.8024,3213.3333333333335,27.138263665594863,8.29103214890017,373.0,0
106,20170623,에듀파트너,3200,400,-95.0,-2.8832,3295.0,9.697309417040348,-2.949852507374631,0.0,0
107,20170626,에듀파트너,3290,401,90.0,2.8125,3261.6666666666665,1.3485477178423142,-0.4552352048558422,1.0,0
108,20170627,에듀파트너,3280,401,-10.0,-0.304,3256.6666666666665,-1.3151239251391043,-0.46875,0.0,0
109,20170628,에듀파트너,3185,400,-95.0,-2.8963,3251.6666666666665,3.372508942258559,10.94224924012158,-1.0,0
110,20170629,에듀파트너,3650,35,465.0,14.5997,3371.6666666666665,6.243602865916074,8.079268292682928,-365.0,0
111,20170630,에듀파트너,3545,300,-105.0,-2.8767,3460.0,13.223987698616094,20.87912087912088,265.0,0
112,20170703,에듀파트너,3850,2,305.0,8.6037,3681.6666666666665,7.26643598615917,-5.342465753424658,-298.0,0
113,20170704,에듀파트너,3455,0,-395.0,-10.2597,3616.6666666666665,4.576107899807326,0.14104372355430184,-2.0,0
114,20170705,에듀파트너,3550,301,95.0,2.7496,3618.3333333333335,-5.341783612494337,-10.38961038961039,301.0,0
115,20170706,에듀파트너,3450,300,-100.0,-2.8169,3485.0,-3.6866359447004524,-0.1447178002894356,-1.0,0
116,20170707,에듀파트너,3450,0,0.0,0.0,3483.3333333333335,-4.698295716259788,-2.9577464788732395,-300.0,0
