,Unnamed: 0,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d,predicted
68,68,20170425,에듀파트너,1030,2002,25.0,2.4876,1021.6666666666665,0.5897771952817824,0.4854368932038834,799.0,1099.0,65.19507186858317,0,Learning Data
69,69,20170426,에듀파트너,1035,13,5.0,0.4854,1023.3333333333335,2.287581699346398,5.970149253731343,-1989.0,1072.6666666666667,-19.57735247208931,1,Learning Data
70,70,20170427,에듀파트너,1065,2,30.0,2.8986,1043.3333333333333,1.6313213703099474,-1.4563106796116505,-11.0,672.3333333333334,-68.69881710646042,0,Learning Data
71,71,20170428,에듀파트너,1015,1017,-50.0,-4.6948,1038.3333333333333,1.6286644951140028,0.4830917874396135,1015.0,344.0,-37.25916718458671,0,Learning Data
72,72,20170502,에듀파트너,1040,1000,25.0,2.4631,1040.0,-1.277955271565488,-2.8169014084507045,-17.0,673.0,98.66137828458108,0,Learning Data
73,73,20170504,에듀파트너,1035,1990,-5.0,-0.4808,1030.0,-1.123595505617963,-0.9852216748768472,990.0,1335.6666666666667,286.7248062015504,0,Learning Data
74,74,20170508,에듀파트너,1005,1001,-30.0,-2.8986,1026.6666666666667,-1.6025641025640989,-0.9615384615384616,-989.0,1330.3333333333333,97.67211490837046,0,Learning Data
75,75,20170510,에듀파트너,1030,1000,25.0,2.4876,1023.3333333333335,-1.1326860841423911,-1.4492753623188406,-1.0,1330.3333333333333,-0.1497379585724981,0,Learning Data
76,76,20170511,에듀파트너,1020,2000,-10.0,-0.9709,1018.3333333333335,-1.2662337662337773,-1.3930348258706469,1000.0,1333.6666666666667,0.2505637684790893,0,Learning Data
77,77,20170512,에듀파트너,991,1001,-29.0,-2.8431,1013.6666666666665,-3.127035830618893,-6.50485436893204,-999.0,1333.6666666666667,0.2756201453269914,-1,Learning Data
78,78,20170515,에듀파트너,963,1001,-28.0,-2.8254,991.3333333333335,0.13093289689033624,8.333333333333332,0.0,1334.0,-49.96250937265684,0,Learning Data
79,79,20170516,에듀파트너,1105,0,142.0,14.7456,1019.6666666666665,9.766524169681038,28.15338042381433,-1001.0,667.3333333333334,-73.88152961759559,0,Learning Data
80,80,20170517,에듀파트너,1270,44,165.0,14.9321,1112.6666666666667,23.57094821788836,34.994807892004154,44.0,348.33333333333326,-78.91054472763618,1,Learning Data
81,81,20170518,에듀파트너,1300,800,30.0,2.3622,1225.0,25.36776724419745,14.479638009049776,756.0,281.3333333333333,-22.377622377622384,0,Learning Data
82,82,20170519,에듀파트너,1265,710,-35.0,-2.6923,1278.3333333333333,20.28160575194726,14.173228346456693,-90.0,518.0,53.11004784688997,0,Learning Data
83,83,20170522,에듀파트너,1450,90,185.0,14.6245,1338.3333333333333,18.911564625850342,27.30769230769231,-620.0,533.3333333333334,-5.213270142180082,0,Learning Data
84,84,20170523,에듀파트너,1655,0,205.0,14.1379,1456.666666666667,28.943937418513688,45.45454545454545,-90.0,266.6666666666667,-88.35263835263834,1,Learning Data
85,85,20170524,에듀파트너,1840,91,185.0,11.1782,1648.333333333333,39.72602739726028,45.862068965517246,91.0,60.33333333333334,-56.75000000000002,1,Learning Data
86,86,20170525,에듀파트너,2115,601,275.0,14.9457,1870.0,38.787185354691076,27.492447129909362,510.0,230.66666666666663,49.24999999999999,0,Learning Data
87,87,20170526,에듀파트너,2110,502,-5.0,-0.2364,2021.666666666667,26.79474216380183,11.141304347826084,-99.0,398.0,785.6353591160222,0,Learning Data
88,88,20170529,에듀파트너,2045,500,-65.0,-3.0806,2090.0,11.497326203208553,-0.7092198581560284,-2.0,534.3333333333334,132.36994219653178,0,Learning Data
89,89,20170530,에듀파트너,2100,606,55.0,2.6895,2085.0,1.9785655399835005,-3.3175355450236967,106.0,536.0,34.50586264656617,0,Learning Data
